pmcid	doi	abstractText	pubYear	title	pmid	secondary_symbol	primary_symbol	type
PMC9954087	10.3390/cancers15041335	Oncology research has received considerable attention in recent years due to the increasing prevalence of cancer in human and animal populations worldwide [...].	2023	Translational and Comparative Research on Innovative Anti-Cancer Therapies.	36831676	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9162367	10.1371/journal.pone.0267744	Immunoglobulin superfamily, member 1 (IGSF1) is a transmembrane glycoprotein with high expression in the mammalian pituitary gland. Mutations in the IGSF1 gene cause congenital central hypothyroidism in humans. The IGSF1 protein is co-translationally cleaved into N- and C-terminal domains (NTD and CTD), the latter of which is trafficked to the plasma membrane and appears to be the functional portion of the molecule. Though the IGSF1-NTD is retained in the endoplasmic reticulum and has no apparent function, it has a high degree of sequence identity with the IGSF1-CTD and is conserved across mammalian species. Based upon phylogenetic analyses, we propose that the ancestral IGSF1 gene encoded the IGSF1-CTD, which was duplicated and integrated immediately upstream of itself, yielding a larger protein encompassing the IGSF1-NTD and IGSF1-CTD. The selective pressures favoring the initial gene duplication and subsequent retention of a conserved IGSF1-NTD are unresolved.	2022	The extant immunoglobulin superfamily, member 1 gene results from an ancestral gene duplication in eutherian mammals.	35653309	A1BG-AS	A1BG-AS1	secondary_symbol
NA	10.3390/cells12121601	The development of new approaches allowing for the early assessment of COVID-19 cases that are likely to become critical and the discovery of new therapeutic targets are urgently required. In this prospective cohort study, we performed proteomic and laboratory profiling of plasma from 163 COVID-19 patients admitted to Bauru State Hospital (Brazil) between 4 May 2020 and 4 July 2020. Plasma samples were collected upon admission for routine laboratory analyses and shotgun quantitative label-free proteomics. Based on the course of the disease, the patients were divided into three groups: (a) mild (<i>n</i> = 76) and (b) severe (<i>n</i> = 56) symptoms, whose patients were discharged without or with admission to an intensive care unit (ICU), respectively, and (c) critical (<i>n</i> = 31), a group consisting of patients who died after admission to an ICU. Based on our data, potential therapies for COVID-19 should target proteins involved in inflammation, the immune response and complement system, and blood coagulation. Other proteins that could potentially be employed in therapies against COVID-19 but that so far have not been associated with the disease are CD5L, VDBP, A1BG, C4BPA, PGLYRP2, SERPINC1, and APOH. Targeting these proteins' pathways might constitute potential new therapies or biomarkers of prognosis of the disease.	2023	Analysis of Plasma Proteins Involved in Inflammation, Immune Response/Complement System, and Blood Coagulation upon Admission of COVID-19 Patients to Hospital May Help to Predict the Prognosis of the Disease.	37371071	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9301696	10.1021/acsomega.2c00837	This study aimed to identify secreted protein biomarkers in serum from the label-free LC/MS proteomics of neutrophils in pulmonary tuberculosis (TB) patients for the diagnosis biomarkers of TB label-free LC/MS. The proteomic profiles of neutrophils from 15 active TB patients and 15 healthy controls (HCs) were analyzed using label-free LC/MS. We identified 358 differentially expressed proteins preliminarily, including 279 up-regulated proteins and 79 down-regulated proteins. Thirty-eight differentially expressed secreted proteins involved in the progress of platelet degranulation between TB patients and HCs were focused. Of these, serotransferrin (TRF), alpha-2-macroglobulin (AMG), alpha-1-antitrypsin (AAT), alpha-1-acid glycoprotein 1 (AAG), alpha-1-acid glycoprotein 2 (AGP2), and alpha-1B-glycoprotein (A1BG) were selected for further verification in the serum of additional 134 TB patients and 138 HCs by nephelometry and ELISA in the training set. Statistically significant differences of TRF (<i>P</i> < 0.0001), AAT (<i>P</i> < 0.0001), AAG (<i>P</i> < 0.0001), AGP2 (<i>P</i> < 0.0001), and A1BG (<i>P</i> = 0.0003) were observed. The serum concentration of TRF was down-regulated in TB patients compared with healthy controls, which was coincident with the proteomics results. An additional validation of TRF was performed in an independent cohort of patients with active TB (<i>n</i> = 46), patients with lung cancer (<i>n</i> = 37), 20 HCs, and patients with pneumonia (<i>n</i> = 35) in the test set by nephelometry. The serum expression levels of TRF in the TB patients showed lower levels compared with those in patients with pneumonia (<i>P</i> = 0.0125), lung cancer (<i>P</i> = 0.0005), HCs (<i>P</i> < 0.0001), and the non-TB controls (<i>P</i> < 0.0001). Furthermore, the AUC value of TRF was 0.647 with 90.22% sensitivity and 42.86% specificity in discriminating the TB group from the pneumonia group, 0.702 with 93.48% sensitivity and 47.16% specificity in discriminating the TB group from the lung cancer group, 0.894 with 91.30% sensitivity and 71.62% specificity in discriminating the TB group from all HCs, and 0.792 with 91.30% sensitivity and 58.90% specificity in discriminating the TB group from the non-TB controls. This study obtained the proteomic profiles of neutrophils in the TB patients and HCs, which contribute to a better understanding of the pathogenesis molecules existing in the neutrophils of pulmonary tuberculosis and provide candidate biomarkers for the diagnosis of pulmonary tuberculosis.	2022	Validation of Serotransferrin in the Serum as Candidate Biomarkers for the Diagnosis of Pulmonary Tuberculosis by Label-Free LC/MS.	35874208	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9698074	10.3390/ijms232213700	Meningitis due to <i>Streptococcus suis</i> causes high mortality and morbidity on pig farms and has increasing zoonotic potential worldwide. Saliva proteome analysis would potentially be useful in elucidating pathophysiological changes and mining for new biomarkers to diagnose and monitor <i>S. suis</i> infection. The objective of this study was to investigate the changes in the salivary and serum proteome profile of piglets with meningitis. The LC-MS/MS TMT proteomic approach was used to analyze saliva and serum samples from 20 male piglets: 10 with meningitis and 10 healthy. In saliva, 11 proteins had higher and 10 had lower relative abundance in piglets with meningitis. The proteins with the highest relative abundance were metavinculin (VCL) and desmocollin-2 (DSC2). Adenosine deaminase (ADA) was selected for validation using a spectrophotometric assay and demonstrated excellent performance in the differentiation between healthy and pigs with meningitis due to <i>S. suis</i>. In serum, the most protruding changes occurred for one SERPIN and haptoglobin (HP). In saliva and serum, the highest number of proteins with altered abundance were linked, via the enrichment analysis, with platelet and neutrophil pathways. Overall, meningitis caused by <i>S. suis</i> resulted in specific proteome changes in saliva and serum, reflecting different pathophysiological mechanisms, and marking new potential biomarkers for this infection.	2022	Revealing the Changes in Saliva and Serum Proteins of Pigs with Meningitis Caused by Streptococcus Suis: A Proteomic Approach.	36430174	A1BG-AS	A1BG-AS1	secondary_symbol
PMC10164983	10.3389/fphys.2023.1178077	NA	2023	Changes in the body fluids proteome as a reflection of the physiological effects of dry immersion.	37168223	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9760568	10.1016/j.envres.2022.114828	<h4>Background</h4>DNA methylation programming is sensitive to prenatal life environmental influences, but the impact of maternal exposure to green space on newborns DNA methylation has not been studied yet.<h4>Methods</h4>We conducted a meta-epigenome-wide association study (EWAS) of maternal exposure to green space during gestation with cord blood DNA methylation in two subsets of the ENVIRONAGE cohort (N = 538). Cord blood DNA methylation was measured by Illumina HumanMethylation 450K in one subset (N = 189) and EPICarray in another (N = 349). High (vegetation height>3 m (m)), low (vegetation height<3 m) and total (including both) high-resolution green space exposures during pregnancy were estimated within 100 m and 1000 m distance around maternal residence. In each subset, we sought cytosine-phosphate-guanine (CpG) sites via linear mixed models adjusted on newborns' sex, ethnicity, gestational age, season at delivery, sampling day, maternal parity, age, smoking, education, and estimated blood cell proportions. EWASs results were meta-analysed via fixed-effects meta-analyses. Differentially methylated regions (DMRs) were identified via ENmix-combp and DMRcate algorithms. Sensitivity analyses were additionally adjusted on PM<sub>2.5</sub>, distance to major roads, urbanicity and neighborhood income. In the 450K subset, cord blood expression of differentially methylated genes was measured by Agilent microarrays and associated with green space.<h4>Results</h4>147 DMRs were identified, 85 of which were still significant upon adjustment for PM<sub>2.5</sub>, distance to major roads, urbanicity and neighborhood income, including HLA-DRB5, RPTOR, KCNQ1DN, A1BG-AS1, HTR2A, ZNF274, COL11A1 and PRSS36 DMRs. One CpG reached genome-wide significance, while 54 CpGs were suggestive significant (p-values<1e-05). Among them, a CpG, hypermethylated with 100 m buffer total green space, was annotated to PAQR9, whose expression decreased with 1000 m buffer low green space (p-value = 1.45e-05).<h4>Conclusions</h4>Our results demonstrate that maternal exposure to green space during pregnancy is associated with cord blood DNA methylation, mainly at loci organized in regions, in genes playing important roles in neurological development (e.g., HTR2A).	2023	Epigenome-wide analysis of maternal exposure to green space during gestation and cord blood DNA methylation in the ENVIRONAGE cohort.	36400229	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9290207	10.1016/j.devcel.2021.09.022	Sex disparities in cardiac homeostasis and heart disease are well documented, with differences attributed to actions of sex hormones. However, studies have indicated sex chromosomes act outside of the gonads to function without mediation by gonadal hormones. Here, we performed transcriptional and proteomics profiling to define differences between male and female mouse hearts. We demonstrate, contrary to current dogma, cardiac sex disparities are controlled not only by sex hormones but also through a sex-chromosome mechanism. Using Turner syndrome (XO) and Klinefelter (XXY) models, we find the sex-chromosome pathway is established by X-linked gene dosage. We demonstrate cardiac sex disparities occur at the earliest stages of heart formation, a period before gonad formation. Using these datasets, we identify and define a role for alpha-1B-glycoprotein (A1BG), showing loss of A1BG leads to cardiac defects in females, but not males. These studies provide resources for studying sex-biased cardiac disease states.	2021	Cardiac proteomics reveals sex chromosome-dependent differences between males and females that arise prior to gonad formation.	34655525	A1BG-AS	A1BG-AS1	secondary_symbol
PMC8657005	10.3390/cancers13235901	New insights into the underlying biological processes of breast cancer are needed for the development of improved markers and treatments. The complex nature of mammary cancer in dogs makes it a great model to study cancer biology since they present a high degree of tumor heterogeneity. In search of disease-state biomarkers candidates, we applied proteomic mass spectrometry imaging in order to simultaneously detect histopathological and molecular alterations whilst preserving morphological integrity, comparing peptide expression between intratumor populations in distinct levels of differentiation. Peptides assigned to FNDC1, A1BG, and double-matching keratins 18 and 19 presented a higher intensity in poorly differentiated regions. In contrast, we observed a lower intensity of peptides matching calnexin, PDIA3, and HSPA5 in poorly differentiated cells, which enriched for protein folding in the endoplasmic reticulum and antigen processing, assembly, and loading of class I MHC. Over-representation of collagen metabolism, coagulation cascade, extracellular matrix components, cadherin-binding and cell adhesion pathways also distinguished cell populations. Finally, an independent validation showed FNDC1, A1BG, PDIA3, HSPA5, and calnexin as significant prognostic markers for human breast cancer patients. Thus, through a spatially correlated characterization of spontaneous carcinomas, we described key proteins which can be further validated as potential prognostic biomarkers.	2021	Proteomic Analysis Identifies FNDC1, A1BG, and Antigen Processing Proteins Associated with Tumor Heterogeneity and Malignancy in a Canine Model of Breast Cancer. 	34885011	A1BG-AS	A1BG-AS1	secondary_symbol
NA	10.1016/j.vetimm.2022.110429	This study aimed to investigate the effect of using high-quality colostrum in addition to paromomycin on the treatment outcomes and serum proteomes of calves naturally affected by cryptosporidiosis. Thirty Holstein calves infected with only Cryptosporidium spp. were divided into three equal groups. Calves in the PC group received paromomycin orally at a dose of 100 mg/kg once daily for 5 days. Calves in PCOL and PBCOL groups received 250 ml colostrum 3 h after feeding twice a day for 3 days. The PBCOL group was also given 6 g of sodium bicarbonate 15 min before colostrum administration. While the fecal scores of all calves were evaluated daily for 10 days from the initiation of the treatment, fecal oocyst counts were determined on the 0, 1, 2, 3, 5, 7, and 10th days. Brix%, total protein (TP), immunoglobulin G (IgG), gamma-glutamyltransferase (GGT) levels, and proteomic analyses were performed on the 0 and 3rd days' sera. Considering pretreatment values, fecal scores (8th, 2nd, and 2nd day), and fecal oocyst counts (10th, 3rd, and 2nd day) improved in a significantly (p < 0.05) shorter time in the colostrum groups than in the control group. By serum proteomic analysis, 99, 93, and 83 proteomes were detected in PC, PCOL, and PBCOL groups, respectively. Although the significant changes in any protein in Group PC were absent, significant changes were observed in Alpha-1B-glycoprotein (A1BG), Zinc transporterZIP11 (S39AB), Cathelicidin-1 (CTHL1), Actin_ cytoplasmic-1 (ACTB), and Apolipoprotein A-IV (APOA4) proteins in Group PCOL and Alpha-1-antiproteinase (A1AT), Serum amyloid A protein (SAA), Actin-cytoplasmic-2 (ACTG), Protein HP-20 homolog (HP20) proteins in Group PBCOL with colostral treatment, which indicated that the use of colostrum had an effect on calf serum proteomes. The more pronounced healing and shorter clinical improvement time in the colostrum groups especially colostrum with sodium bicarbonate revealed that these proteomes have positive effects in the treatment with their systemic and local effects in the intestines.	2022	Evaluation of the efficacy of cow colostrum in the treatment and its effect on serum proteomes in calves with cryptosporidiosis.	35500421	A1BG-AS	A1BG-AS1	secondary_symbol
